lat_r,lng_r,alert_count
17.162,79.414,49
17.23,79.069,49
17.209,79.176,49
17.164,79.549,49
17.112,79.69,49
17.159,79.419,49
17.196,79.232,48
17.062,79.819,48
17.166,79.526,48
17.213,79.162,48
17.048,79.846,48
17.196,79.231,48
16.982,80.006,48
17.127,79.64,48
17.167,79.341,48
17.168,79.4,48
17.162,79.545,48
16.974,80.018,48
17.232,78.981,48
17.092,79.777,48
17.25,78.902,48
17.098,79.753,48
17.231,79.056,48
17.159,79.313,48
17.252,78.898,48
17.17,79.35,48
17.158,79.45,48
17.196,79.195,48
17.011,79.907,48
17.101,79.746,48
17.019,79.879,48
17.17,79.357,48
17.157,79.461,48
17.168,79.403,48
17.009,79.904,48
17.158,79.439,47
17.163,79.298,47
17.171,79.362,47
17.145,79.6,47
17.165,79.521,47
17.145,79.602,47
17.171,79.367,47
17.229,78.978,47
17.152,79.569,47
17.243,78.93,47
17.172,79.282,47
17.234,78.956,47
17.242,78.933,47
17.258,78.869,47
17.231,79.06,47
17.164,79.518,47
16.944,80.058,47
17.235,78.953,47
17.05,79.842,47
17.237,78.948,47
17.16,79.496,47
17.214,79.159,47
17.171,79.361,47
17.091,79.779,47
17.116,79.658,47
17.137,79.633,47
17.161,79.556,47
17.17,79.285,47
17.078,79.798,47
17.295,78.741,47
17.016,79.924,47
17.112,79.688,47
17.112,79.696,47
17.197,79.229,47
17.016,79.926,47
17.273,78.818,47
17.133,79.633,47
17.117,79.655,47
17.268,78.827,46
17.147,79.585,46
17.036,79.855,46
17.098,79.767,46
17.208,79.181,46
17.276,78.811,46
17.232,78.989,46
17.102,79.744,46
17.043,79.849,46
17.099,79.765,46
17.158,79.421,46
17.008,79.901,46
17.114,79.661,46
17.067,79.808,46
17.243,78.931,46
17.112,79.677,46
17.23,79.027,46
17.17,79.356,46
17.17,79.354,46
17.172,79.281,46
17.209,79.178,46
17.157,79.452,46
17.066,79.812,46
17.231,79.13,46
17.023,79.872,46
17.014,79.914,45
17.02,79.877,45
17.213,79.16,45
17.208,79.179,45
17.22,79.147,45
17.159,79.311,45
17.256,78.885,45
17.229,78.974,45
17.018,79.881,45
17.229,79.078,45
